frame_id,handedness,finger,depth_mm,dist_to_surface_mm
103,Left,middle,278.6,-16.44
103,Left,ring,242.9,19.26
103,Left,pinky,253.2,8.96
105,Left,thumb,272.4,-10.24
105,Left,index,230.0,32.16
105,Left,middle,235.5,26.66
105,Left,ring,251.5,10.66
105,Left,pinky,248.4,13.76
106,Left,thumb,273.2,-11.04
106,Left,index,252.9,9.26
106,Left,middle,276.3,-14.14
106,Left,ring,247.8,14.36
106,Left,pinky,252.7,9.46
106,Right,thumb,280.3,-18.14
106,Right,index,268.3,-6.14
106,Right,middle,266.3,-4.14
106,Right,ring,241.1,21.06
106,Right,pinky,242.6,19.56
108,Left,thumb,268.0,-5.84
108,Left,index,252.7,9.46
108,Left,middle,305.5,-43.34
108,Left,ring,256.3,5.86
108,Left,pinky,252.9,9.26
109,Right,thumb,269.1,-6.94
109,Right,index,268.1,-5.94
109,Right,middle,268.5,-6.34
109,Right,ring,244.3,17.86
109,Right,pinky,243.8,18.36
109,Left,thumb,267.0,-4.84
109,Left,index,252.6,9.56
109,Left,middle,277.5,-15.34
109,Left,ring,246.2,15.96
109,Left,pinky,254.7,7.46
117,Left,thumb,263.0,-0.84
117,Left,index,245.7,16.46
117,Left,middle,308.5,-46.34
117,Left,ring,256.5,5.66
117,Left,pinky,251.6,10.56
117,Right,thumb,266.7,-4.54
117,Right,index,255.9,6.26
117,Right,middle,266.2,-4.04
117,Right,ring,246.3,15.86
117,Right,pinky,245.4,16.76
118,Left,thumb,258.7,3.46
118,Left,index,253.2,8.96
118,Left,middle,282.0,-19.84
118,Left,ring,248.3,13.86
118,Left,pinky,254.0,8.16
128,Right,thumb,228.4,33.76
128,Right,index,237.1,25.06
128,Right,middle,236.8,25.36
128,Right,ring,234.7,27.46
128,Right,pinky,239.3,22.86
130,Right,thumb,237.7,24.46
130,Right,index,233.0,29.16
130,Right,middle,239.1,23.06
130,Right,ring,236.6,25.56
130,Right,pinky,238.8,23.36
138,Right,thumb,268.0,-5.84
138,Right,index,281.0,-18.84
138,Right,middle,266.1,-3.94
138,Right,ring,243.9,18.26
138,Right,pinky,247.7,14.46
140,Right,thumb,259.7,2.46
140,Right,index,278.3,-16.14
140,Right,middle,283.5,-21.34
140,Right,ring,242.9,19.26
140,Right,pinky,242.5,19.66
147,Left,thumb,271.7,-9.54
147,Left,index,240.7,21.46
147,Left,middle,280.4,-18.24
147,Left,ring,251.3,10.86
147,Left,pinky,260.2,1.96
151,Right,thumb,226.3,35.86
151,Right,index,254.7,7.46
151,Right,middle,245.6,16.56
151,Right,ring,232.4,29.76
151,Right,pinky,237.6,24.56
