frame_id,handedness,finger,depth_mm
36,Right,thumb,275.0
36,Right,index,250.0
36,Right,middle,267.0
36,Right,ring,251.0
36,Right,pinky,236.0
66,Right,thumb,197.0
66,Right,index,185.0
66,Right,middle,179.0
66,Right,ring,187.0
66,Right,pinky,224.0
77,Left,thumb,191.0
77,Left,index,226.0
77,Left,middle,240.0
77,Left,ring,244.0
77,Left,pinky,243.0
81,Right,thumb,193.0
81,Right,index,275.0
81,Right,middle,290.0
81,Right,ring,286.0
81,Right,pinky,258.0
95,Right,thumb,189.0
95,Right,index,215.0
95,Right,middle,232.0
95,Right,ring,257.0
95,Right,pinky,248.0
100,Left,thumb,257.0
100,Left,index,258.0
100,Left,middle,251.0
100,Left,ring,247.0
100,Left,pinky,240.0
118,Left,thumb,297.0
118,Left,index,205.0
118,Left,middle,268.0
118,Left,ring,294.0
118,Left,pinky,227.0
212,Right,thumb,195.0
212,Right,index,214.0
212,Right,middle,248.0
212,Right,ring,248.0
212,Right,pinky,240.0
221,Left,thumb,274.0
221,Left,index,200.0
221,Left,middle,219.0
221,Left,ring,208.0
221,Left,pinky,203.0
