frame_id,handedness,finger,depth_mm
7,Left,thumb,229.0
7,Left,index,240.0
7,Left,middle,235.0
7,Left,ring,247.0
7,Left,pinky,202.0
8,Left,thumb,208.0
8,Left,index,294.0
8,Left,middle,235.0
8,Left,ring,217.0
8,Left,pinky,224.0
8,Right,thumb,254.0
8,Right,index,250.0
8,Right,middle,233.0
8,Right,ring,203.0
8,Right,pinky,195.0
9,Right,thumb,205.0
9,Right,index,261.0
9,Right,middle,263.0
9,Right,ring,252.0
9,Right,pinky,258.0
10,Right,thumb,183.0
10,Right,index,251.0
10,Right,middle,286.0
10,Right,ring,257.0
10,Right,pinky,245.0
11,Right,thumb,188.0
11,Right,index,233.0
11,Right,middle,292.0
11,Right,ring,239.0
11,Right,pinky,225.0
12,Right,thumb,182.0
12,Right,index,245.0
12,Right,middle,247.0
12,Right,ring,242.0
12,Right,pinky,235.0
12,Left,thumb,183.0
12,Left,index,289.0
12,Left,middle,235.0
12,Left,ring,245.0
12,Left,pinky,223.0
13,Left,thumb,188.0
13,Left,index,238.0
13,Left,middle,243.0
13,Left,ring,255.0
13,Left,pinky,212.0
13,Right,thumb,218.0
13,Right,index,271.0
13,Right,middle,275.0
13,Right,ring,252.0
13,Right,pinky,237.0
14,Left,thumb,185.0
14,Left,index,259.0
14,Left,middle,230.0
14,Left,ring,230.0
14,Left,pinky,214.0
14,Right,thumb,207.0
14,Right,index,241.0
14,Right,middle,266.0
14,Right,ring,245.0
14,Right,pinky,231.0
15,Right,thumb,255.0
15,Right,index,249.0
15,Right,middle,251.0
15,Right,ring,242.0
15,Right,pinky,238.0
16,Right,thumb,182.0
16,Right,index,253.0
16,Right,middle,287.0
16,Right,ring,258.0
16,Right,pinky,240.0
17,Right,thumb,185.0
17,Right,index,250.0
17,Right,middle,261.0
17,Right,ring,235.0
17,Right,pinky,265.0
18,Right,thumb,183.0
18,Right,index,238.0
18,Right,middle,241.0
18,Right,ring,243.0
18,Right,pinky,240.0
19,Right,thumb,203.0
19,Right,index,272.0
19,Right,middle,284.0
19,Right,ring,245.0
19,Right,pinky,230.0
20,Left,thumb,213.0
20,Left,index,240.0
20,Left,middle,250.0
20,Left,ring,252.0
20,Left,pinky,213.0
20,Right,thumb,245.0
20,Right,index,266.0
20,Right,middle,333.0
20,Right,ring,303.0
20,Right,pinky,262.0
21,Left,thumb,217.0
21,Left,index,217.0
21,Left,middle,245.0
21,Left,ring,258.0
21,Left,pinky,207.0
21,Right,thumb,274.0
21,Right,index,264.0
21,Right,middle,258.0
21,Right,ring,253.0
21,Right,pinky,237.0
22,Right,thumb,258.0
22,Right,index,288.0
22,Right,middle,288.0
22,Right,ring,266.0
22,Right,pinky,243.0
23,Right,thumb,262.0
23,Right,index,297.0
23,Right,middle,308.0
23,Right,ring,261.0
23,Right,pinky,241.0
23,Left,thumb,213.0
23,Left,index,198.0
23,Left,middle,232.0
23,Left,ring,283.0
23,Left,pinky,239.0
24,Left,thumb,208.0
24,Left,index,252.0
24,Left,middle,236.0
24,Left,ring,246.0
24,Left,pinky,208.0
24,Right,thumb,263.0
24,Right,index,263.0
24,Right,middle,280.0
24,Right,ring,260.0
24,Right,pinky,246.0
25,Right,thumb,275.0
25,Right,index,297.0
25,Right,middle,306.0
25,Right,ring,282.0
25,Right,pinky,286.0
25,Left,thumb,203.0
25,Left,index,208.0
25,Left,middle,236.0
25,Left,ring,259.0
25,Left,pinky,208.0
26,Right,thumb,289.0
26,Right,index,327.0
26,Right,middle,278.0
26,Right,ring,251.0
26,Right,pinky,232.0
26,Left,thumb,191.0
26,Left,index,206.0
26,Left,middle,235.0
26,Left,ring,278.0
