depth_mm,velocity,label
-13.321395491380727,0.0,0
18.646816277998525,0.0,0
32.33747373465906,0.0,0
34.41443463770449,4.127574872888462,0
35.13571728220516,2.2949504602242774,0
21.942110387555502,20.656737096507342,0
17.803664989054337,37.98681845804779,1
5.867144203154318,39.99901082534698,0
0.9454278376834213,13.780733340215921,0
3.563173266055597,7.161123861006537,0
5.681516399759278,13.10582960513789,0
2.2577984646288685,4.499626212772826,0
0.7211331917748032,1.5631378966909661,0
4.721694129348808,1.5672211799875202,0
6.494067895271682,0.48224079007504106,0
0.827396917720491,16.28421046481424,0
11.80514510568087,45.321388098269985,0
16.747052038032674,43.847246853748985,0
33.93543803437832,26.40905756545541,0
46.13431809611263,0.0,0
41.50428301676811,12.411869276231489,0
16.113076683972494,0.0,0
43.808079351820126,13.08973011235455,0
36.4557474267277,0.0,0
44.982102975703874,0.5865941985640124,0
46.59734749879241,4.289581216118532,0
40.96212720220643,0.589669948739884,0
42.24638208680603,64.13353347680201,0
39.153686837384846,0.21398371909726208,0
40.164743639256756,23.273243009163696,0
38.894474557690074,0.21342835323098158,0
23.29391947928361,40.41671247383101,0
38.887634821312574,10.398187124484245,0
14.06623220473502,19.709338937417304,0
38.68571341707522,10.289165066658581,0
-1.9847497632437539,19.502692080266126,0
38.617751523057464,3.742817770209008,0
-9.03876007714427,1.934408262805977,0
36.771578663660435,3.7431976815815817,0
-10.615887608826979,1.934604613188284,0
35.8131294809374,3.8386742616076375,0
-13.316643610374157,5.896487927952088,0
38.416311626731925,4.723455972527078,0
-2.1946778506735654,2.706945115708447,0
39.39978787239667,3.4532309123785647,0
2.818214444826661,0.99249941424562,0
39.28164711886034,3.399356749039189,0
-4.52124439132584,9.48399800616316,0
39.22789637660501,1.2290218582456798,0
-8.441334226959418,1.6972049837487002,0
39.06885498919832,1.2244327451224668,0
-5.7533400263401475,15.33233356258591,0
38.98327279173286,0.43757331639562136,0
-5.231195849478675,4.659962768895613,0
37.187143448756785,0.45030867611064573,0
-7.467935918282098,4.795588731211547,0
36.48989205198483,0.1611239006775851,0
-7.7659872046978435,8.654907639386753,0
35.05666899145099,0.1611282167262108,0
-10.074845916274722,8.655139479609856,0
34.65077060852639,0.05736174956118714,0
-10.73506267057417,8.209169414102796,0
33.25953436862239,8.503712821226568,0
-7.240488009826573,8.780477245995415,0
32.74594024842109,2.0702486556406865,0
-5.18572334615558,1.9674671481302397,0
34.05790222618887,2.0432929838534846,0
-5.5047817613738665,1.9418497429198511,0
34.31741672106497,24.760876748580593,0
-5.196119385221576,5.788080350320915,0
30.226098285151608,51.02632243566759,0
-2.0249755223811783,14.505058699652404,0
28.047060118236047,44.69484713167342,0
-2.989594728988021,10.4106934251912,0
28.404751821038687,43.17826464399058,0
3.2472495265693513,10.057438489857223,0
27.9766621176179,10.653055709233039,0
6.371007565970144,1.4519632373407212,0
27.475271170239736,2.109197125250255,0
1.2011336319217025,27.121774547431492,0
26.87497958645246,16.135563692110505,0
